p0;p0->0.6;2.378;0.001;0.600
p1;p1->0.6;5.695;0.006;0.600
p2;p2->0.6;7.404;1.547;0.600
p3;p3->0.6;9.608;2.534;0.600
p4;p4->0.6;13.943;2.279;0.600
p5;p5->0.6;13.998;-6.751;0.600
p6;p6->0.6;2.620;-6.397;0.600
p7;p7->0.6;-4.435;-5.783;0.600
p8;p8->0.6;-8.205;-5.294;0.600
p9;p9->0.6;-7.887;3.616;0.600
p10;p10->0.6;-2.152;3.389;0.600
p11;p11->0.6;1.020;3.406;0.600
p12;p12->0.6;1.100;6.106;0.600
